Round,batch_size,best epoch training_time,best_test_rmse,best_test_rmse_epoch,clip_gradients,decay_learning_rate,dropout_keep_prob,hidden_activation,hidden_layer_size,hidden_regularisation,hidden_regularizer,learning_rate,num_hidden_layers,optimizer
53,64,30s,0.533254507,15,True,True,0.8,<function sigmoid at 0x7fbb9a908c80>,800,1.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
54,128,4s,0.5332579510000001,9,False,True,1.0,<function sigmoid at 0x7fbb9a908c80>,400,1.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
55,64,2s,0.5333363520000001,3,True,False,1.0,<function relu at 0x7fbb9a7f8c80>,100,0.1,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
56,64,13s,0.533381416,19,False,False,0.5,<function softplus at 0x7fbb9a7fb378>,400,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
57,64,2s,0.533582872,15,True,True,0.9,,50,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
58,256,1s,0.534544358,16,True,False,0.8,<function elu at 0x7fbb9a7e8c80>,400,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
59,256,3s,0.53487883,19,True,True,0.6,<function relu at 0x000001ED004EBA60>,200,1.0,<function l2_regularizer at 0x000001ED025969D8>,0.01,3,<class 'tensorflow.python.training.gradient_descent.GradientDescentOptimizer'>
60,64,21s,0.537689408,19,False,True,0.7,<function softplus at 0x000001BDB9B75C80>,200,1.0,<function l1_regularizer at 0x000001BDBC8381E0>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
61,512,1s,0.539866886,17,True,False,0.5,<function sigmoid at 0x7fbb9a908c80>,200,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
62,128,3s,0.540027624,19,True,False,0.7,<function elu at 0x7fbb9a7e8c80>,200,1.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
63,64,37s,0.540648823,5,True,False,0.6,<function elu at 0x000001BDB9B64620>,800,0.5,<function l2_regularizer at 0x000001BDBC838598>,0.001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
64,512,16s,0.5427152439999999,17,False,True,0.7,<function sigmoid at 0x7fbb9a908c80>,800,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
65,256,14s,0.5431362820000001,19,True,False,0.6,<function sigmoid at 0x7fbb9a908c80>,800,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
66,256,1s,0.544415422,19,True,True,0.6,<function elu at 0x7fbb9a7e8c80>,100,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
67,64,18s,0.544424259,7,True,True,0.5,<function elu at 0x7fbb9a7e8c80>,800,0.1,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
68,128,2s,0.547338302,19,False,True,0.7,<function sigmoid at 0x7fbb9a908c80>,100,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
69,256,1s,0.5506848879999999,19,True,True,0.6,<function elu at 0x7fbb9a7e8c80>,25,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
70,64,2s,0.5631768779999999,19,True,True,0.5,<function elu at 0x7fbb9a7e8c80>,100,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
71,128,1s,0.590119145,19,True,False,0.9,<function elu at 0x7fbb9a7e8c80>,50,2.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
72,512,0s,0.6625561010000001,19,True,True,0.9,<function elu at 0x7fbb9a7e8c80>,25,0.1,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
73,64,61s,0.6916858109999999,17,False,False,0.6,,50,0.5,<function l1_regularizer at 0x000001BDBC8381E0>,0.01,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
74,64,2s,0.699550062,19,True,True,0.9,,50,0.1,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
75,256,1s,0.709493932,19,True,False,0.9,<function relu at 0x7fbb9a7f8c80>,800,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
76,512,19s,0.750013096,19,True,True,0.5,<function sigmoid at 0x0000021FF2F30D08>,400,2.0,<function l1_regularizer at 0x0000021FF5D941E0>,0.0001,4,<class 'tensorflow.python.training.gradient_descent.GradientDescentOptimizer'>
77,64,3s,0.7551587259999999,18,True,True,0.6,,200,1.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
78,512,7s,0.765560555,19,False,True,0.8,<function elu at 0x0000021FF30B3620>,200,0.2,<function l2_regularizer at 0x0000021FF5D94598>,0.01,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
79,128,41s,0.81049095,15,True,True,1.0,<function elu at 0x000001BDB9B64620>,200,0.2,<function l1_regularizer at 0x000001BDBC8381E0>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
80,256,2s,0.813808623,8,True,True,1.0,,400,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
81,256,1s,0.817524568,9,True,True,1.0,,100,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
82,512,1s,0.824019823,19,True,True,0.9,<function relu at 0x7fbb9a7f8c80>,100,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
83,512,2s,0.845635221,19,True,True,0.5,<function sigmoid at 0x000001C2CB000F28>,100,0.5,<function l2_regularizer at 0x000001C2CDE43730>,0.0001,1,<class 'tensorflow.python.training.gradient_descent.GradientDescentOptimizer'>
84,512,2s,0.845635221,19,True,True,0.5,<function sigmoid at 0x000001C2CB000F28>,100,0.5,<function l2_regularizer at 0x000001C2CDE43730>,0.0001,1,<class 'tensorflow.python.training.gradient_descent.GradientDescentOptimizer'>
